######################
### Initial Values ###
######################
 
Initial temp = 10.0
Initial RMSE =      0.8725521
 
Lets see how it goes!
 
--------------------------------------------------------------------------------------------------------------
     RMSE         delRMSE        BestRMSE     MP_Exponent    MP_Value   MCSA_Temp   decision  
  0.6442162      -0.1877708     0.6168230      -0.3140317   7.3050e-01  3.91826       AF     
  0.6442162      1.0199245      0.6168230      -0.2629941   7.6875e-01  3.87813       RM     
  1.6484415      1.0042253      0.6168230      -0.2616259   7.6980e-01  3.83840       AM     
  1.1690075      -0.4794340     0.6168230      -0.2616259   7.6980e-01  3.79908       AF     
  0.5899458      -0.5790617     0.5899458      -0.2616259   7.6980e-01  3.76017       AF     
  2.3445000      1.7545543      0.5899458      -0.4714448   6.2410e-01  3.72165       AM     
  1.2712309      -1.0732691     0.5899458      -0.4714448   6.2410e-01  3.68353       AF     
  1.7088955      0.4376645      0.5899458      -0.1200462   8.8688e-01  3.64580       AM     
  0.7700611      -0.9388344     0.5899458      -0.1200462   8.8688e-01  3.60846       AF     
  1.5793883      0.8093271      0.5899458      -0.2266074   7.9723e-01  3.57149       AM     
  0.6572780      -0.9221103     0.5899458      -0.2266074   7.9723e-01  3.53491       AF     
  0.6964690      0.0391911      0.5899458      -0.0112016   9.8886e-01  3.49870       AM     
  0.8247302      0.1282611      0.5899458      -0.0370390   9.6364e-01  3.46286       AM     
  0.6998561      -0.1248741     0.5899458      -0.0370390   9.6364e-01  3.42739       AF     
  0.6998561      1.2202848      0.5899458      -0.3597234   6.9787e-01  3.39229       RM     
  0.6998561      1.5410933      0.5899458      -0.4589950   6.3192e-01  3.35754       RM     
  1.8412629      1.1414068      0.5899458      -0.3434717   7.0930e-01  3.32315       AM     
  1.2521061      -0.5891568     0.5899458      -0.3434717   7.0930e-01  3.28911       AF     
  1.0332514      -0.2188547     0.5899458      -0.3434717   7.0930e-01  3.25542       AF     
  0.8789917      -0.1542598     0.5899458      -0.3434717   7.0930e-01  3.22207       AF     
  0.8789917      1.4819345      0.5899458      -0.4646924   6.2833e-01  3.18907       RM     
  0.8789917      1.7371289      0.5899458      -0.5503514   5.7675e-01  3.15640       RM     
  1.3093472      0.4303556      0.5899458      -0.1377549   8.7131e-01  3.12407       AM     
  0.9750831      -0.3342641     0.5899458      -0.1377549   8.7131e-01  3.09207       AF     
  2.2508224      1.2757392      0.5899458      -0.4168545   6.5912e-01  3.06039       AM     
  2.2466814      -0.0041410     0.5899458      -0.4168545   6.5912e-01  3.02905       AF     
  0.6876842      -1.5589973     0.5899458      -0.4168545   6.5912e-01  2.99802       AF     
  0.6876842      1.6735458      0.5899458      -0.5639942   5.6893e-01  2.96731       RM     
  1.0981352      0.4104511      0.5899458      -0.1397558   8.6957e-01  2.93692       AM     
  1.6359993      0.5378640      0.5899458      -0.1850344   8.3108e-01  2.90683       AM     
  2.5455091      0.9095098      0.5899458      -0.3161251   7.2897e-01  2.87706       AM     
  1.0716981      -1.4738110     0.5899458      -0.3161251   7.2897e-01  2.84759       AF     
  0.9062211      -0.1654770     0.5899458      -0.3161251   7.2897e-01  2.81842       AF     
  0.7044974      -0.2017237     0.5899458      -0.3161251   7.2897e-01  2.78955       AF     
  0.9630459      0.2585485      0.5899458      -0.0936439   9.1061e-01  2.76097       AM     
  0.7419668      -0.2210791     0.5899458      -0.0936439   9.1061e-01  2.73269       AF     
  1.0072385      0.2652717      0.5899458      -0.0980780   9.0658e-01  2.70470       AM     
  1.5306295      0.5233910      0.5899458      -0.1955142   8.2241e-01  2.67700       AM     
  0.7367681      -0.7938614     0.5899458      -0.1955142   8.2241e-01  2.64958       AF     
  0.9861676      0.2493995      0.5899458      -0.0951022   9.0928e-01  2.62244       AM     
  0.7933673      -0.1928004     0.5899458      -0.0951022   9.0928e-01  2.59557       AF     
  0.7614783      -0.0318889     0.5899458      -0.0951022   9.0928e-01  2.56899       AF     
  1.2217639      0.4602855      0.5899458      -0.1810243   8.3442e-01  2.54267       AM     
  2.0955803      0.8738164      0.5899458      -0.3472172   7.0665e-01  2.51663       AM     
  1.2839698      -0.8116105     0.5899458      -0.3472172   7.0665e-01  2.49085       AF     
  1.2643182      -0.0196517     0.5899458      -0.3472172   7.0665e-01  2.46533       AF     
  1.2643182      0.7730445      0.5899458      -0.3168109   7.2847e-01  2.44008       RM     
  0.8732329      -0.3910852     0.5899458      -0.3168109   7.2847e-01  2.41509       AF     
  0.9188283      0.0455954      0.5899458      -0.0190748   9.8111e-01  2.39035       AM     
  1.0644533      0.1456250      0.5899458      -0.0615525   9.4030e-01  2.36586       AM     
  1.2995717      0.2351184      0.5899458      -0.1004080   9.0447e-01  2.34163       AM     
  0.8965275      -0.4030442     0.5899458      -0.1004080   9.0447e-01  2.31765       AF     
  0.8577972      -0.0387303     0.5899458      -0.1004080   9.0447e-01  2.29391       AF     
  0.9074601      0.0496629      0.5899458      -0.0218740   9.7836e-01  2.27041       AM     
  0.9074601      0.3834569      0.5899458      -0.1706413   8.4312e-01  2.24715       RM     
  0.9074601      0.8126702      0.5899458      -0.3653873   6.9393e-01  2.22413       RM     
  0.7989697      -0.1084904     0.5899458      -0.3653873   6.9393e-01  2.20135       AF     
  0.9924677      0.1934981      0.5899458      -0.0888093   9.1502e-01  2.17880       AM     
  2.0385640      1.0460962      0.5899458      -0.4850932   6.1564e-01  2.15648       AM     
  0.7497411      -1.2888229     0.5899458      -0.4850932   6.1564e-01  2.13440       AF     
  1.0562736      0.3065326      0.5899458      -0.1451019   8.6493e-01  2.11253       AM     
  1.5406409      0.4843673      0.5899458      -0.2316556   7.9322e-01  2.09089       AM     
  0.7374610      -0.8031799     0.5899458      -0.2316556   7.9322e-01  2.06948       AF     
