
Host: node001

Timers On : Wed Mar 31 21:09:55 2021
Timers Off: Wed Mar 31 23:32:44 2021

Wall Time:     8569.14 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
JK: (A|Q)^-1                        :    825.600u     46.017s    127.521w     31 calls
JK: (A|mn)                          :    591.683u      3.250s     89.446w     93 calls
JK: (Q|mn)                          :   2000.017u     15.600s    303.039w     93 calls
JK: (Q|mn) Write                    :     63.033u     31.733s     18.308w     93 calls
HF: Form core H                     :      7.533u      0.350s      1.674w     31 calls
HF: Form S/X                        :      9.883u      0.283s      1.516w     31 calls
HF: Guess                           :     99.200u      2.233s     15.348w     31 calls
| SAD Guess                         :     95.967u      2.150s     14.847w     31 calls
HF: Form G                          :   8010.083u    440.150s   1338.807w    341 calls
| JK: D                             :      1.767u      0.033s      0.265w    341 calls
| JK: USO2AO                        :      1.233u      0.050s      0.177w    341 calls
| JK: JK                            :   8004.350u    439.817s   1337.878w    341 calls
| | JK: (Q|mn) Read                 :    418.250u    218.883s    125.760w   1054 calls
| | JK: J                           :    175.200u      2.217s     26.890w   1054 calls
| | | JK: J1                        :     86.817u      1.267s     13.305w   1054 calls
| | | JK: J2                        :     80.467u      0.617s     12.199w   1054 calls
| | JK: K                           :   6961.233u     29.467s   1051.113w   1054 calls
| | | JK: K1                        :   4333.767u     24.183s    655.218w   1054 calls
| | | JK: K2                        :   2625.150u      5.100s    395.536w   1054 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w    341 calls
HF: Form F                          :      1.750u      0.117s      0.308w    341 calls
HF: Form D                          :      1.733u      0.050s      0.239w    341 calls
HF: DIIS                            :     37.483u      4.483s      6.303w    310 calls
| DIISManager::add_entry            :      3.883u      0.983s      0.725w    310 calls
| DIISManager::extrapolate          :     11.117u      2.650s      2.081w    310 calls
| | bMatrix setup                   :      5.117u      1.517s      1.036w    310 calls
| | bMatrix pseudoinverse           :      0.150u      0.000s      0.028w    310 calls
| | New vector                      :      5.750u      1.133s      1.011w    310 calls
HF: Form C                          :     94.650u      1.300s     14.435w    310 calls

**************************************************************************************

Host: node001

Timers On : Thu Apr  1 13:17:31 2021
Timers Off: Thu Apr  1 13:52:41 2021

Wall Time:     2109.89 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      8.767u      0.317s      5.432w     31 calls
JK: (A|Q)^-1                        :    833.817u     49.783s    128.726w     31 calls
JK: (A|mn)                          :    593.467u      2.000s     89.532w     93 calls
JK: (Q|mn)                          :   1971.483u      8.700s    297.712w     93 calls
JK: (Q|mn) Write                    :     62.950u     38.017s     22.191w     93 calls
HF: Form core H                     :      6.900u      0.367s      1.418w     31 calls
HF: Form S/X                        :      9.617u      0.133s      1.471w     31 calls
HF: Guess                           :     99.967u      2.300s     15.375w     31 calls
SAD Guess                           :     96.717u      2.183s     14.869w     31 calls
HF: Form G                          :   8192.367u    525.900s   1403.539w    341 calls
JK: D                               :      1.700u      0.033s      0.263w    341 calls
JK: USO2AO                          :      1.133u      0.083s      0.174w    341 calls
JK: JK                              :   8186.483u    525.400s   1402.605w    341 calls
JK: (Q|mn) Read                     :    468.333u    252.733s    144.717w   1054 calls
JK: J                               :    165.550u      1.800s     25.293w   1054 calls
JK: J1                              :     82.283u      1.283s     12.555w   1054 calls
JK: J2                              :     75.850u      0.200s     11.438w   1054 calls
JK: K                               :   7050.517u     35.767s   1065.543w   1054 calls
JK: K1                              :   4399.667u     26.517s    665.514w   1054 calls
JK: K2                              :   2648.800u      9.133s    399.686w   1054 calls
JK: AO2USO                          :      0.017u      0.000s      0.001w    341 calls
HF: Form F                          :      1.700u      0.133s      0.289w    341 calls
HF: Form D                          :      1.533u      0.033s      0.237w    341 calls
HF: DIIS                            :     38.767u      4.767s      6.532w    310 calls
DIISManager::add_entry              :      4.267u      0.850s      0.798w    310 calls
DIISManager::extrapolate            :     12.000u      3.083s      2.234w    310 calls
bMatrix setup                       :      5.667u      1.667s      1.123w    310 calls
bMatrix pseudoinverse               :      0.250u      0.000s      0.027w    310 calls
New vector                          :      6.050u      1.417s      1.078w    310 calls
HF: Form C                          :     94.900u      1.000s     14.432w    310 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      8.767u      0.317s      5.432w     31 calls
JK: (A|Q)^-1                        :    833.817u     49.783s    128.726w     31 calls
JK: (A|mn)                          :    593.467u      2.000s     89.532w     93 calls
JK: (Q|mn)                          :   1971.483u      8.700s    297.712w     93 calls
JK: (Q|mn) Write                    :     62.950u     38.017s     22.191w     93 calls
HF: Form core H                     :      6.900u      0.367s      1.418w     31 calls
HF: Form S/X                        :      9.617u      0.133s      1.471w     31 calls
HF: Guess                           :     99.967u      2.300s     15.375w     31 calls
| SAD Guess                         :     96.717u      2.183s     14.869w     31 calls
HF: Form G                          :   8192.367u    525.900s   1403.539w    341 calls
| JK: D                             :      1.700u      0.033s      0.263w    341 calls
| JK: USO2AO                        :      1.133u      0.083s      0.174w    341 calls
| JK: JK                            :   8186.483u    525.400s   1402.605w    341 calls
| | JK: (Q|mn) Read                 :    468.333u    252.733s    144.717w   1054 calls
| | JK: J                           :    165.550u      1.800s     25.293w   1054 calls
| | | JK: J1                        :     82.283u      1.283s     12.555w   1054 calls
| | | JK: J2                        :     75.850u      0.200s     11.438w   1054 calls
| | JK: K                           :   7050.517u     35.767s   1065.543w   1054 calls
| | | JK: K1                        :   4399.667u     26.517s    665.514w   1054 calls
| | | JK: K2                        :   2648.800u      9.133s    399.686w   1054 calls
| JK: AO2USO                        :      0.017u      0.000s      0.001w    341 calls
HF: Form F                          :      1.700u      0.133s      0.289w    341 calls
HF: Form D                          :      1.533u      0.033s      0.237w    341 calls
HF: DIIS                            :     38.767u      4.767s      6.532w    310 calls
| DIISManager::add_entry            :      4.267u      0.850s      0.798w    310 calls
| DIISManager::extrapolate          :     12.000u      3.083s      2.234w    310 calls
| | bMatrix setup                   :      5.667u      1.667s      1.123w    310 calls
| | bMatrix pseudoinverse           :      0.250u      0.000s      0.027w    310 calls
| | New vector                      :      6.050u      1.417s      1.078w    310 calls
HF: Form C                          :     94.900u      1.000s     14.432w    310 calls

**************************************************************************************

Host: node002

Timers On : Thu Apr  1 13:20:39 2021
Timers Off: Thu Apr  1 13:57:44 2021

Wall Time:     2224.51 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      8.867u      0.300s      5.522w     31 calls
JK: (A|Q)^-1                        :    856.183u     50.583s    133.035w     31 calls
JK: (A|mn)                          :    651.183u      8.283s     99.153w     93 calls
JK: (Q|mn)                          :   2034.800u     24.383s    309.642w     93 calls
JK: (Q|mn) Write                    :     60.600u     42.517s     24.948w     93 calls
HF: Form core H                     :      7.400u      0.283s      1.734w     31 calls
HF: Form S/X                        :     10.417u      0.283s      1.592w     31 calls
HF: Guess                           :    100.883u      2.500s     15.778w     31 calls
SAD Guess                           :     97.700u      2.367s     15.266w     31 calls
HF: Form G                          :   8580.733u    612.850s   1484.901w    341 calls
JK: D                               :      2.267u      0.133s      0.320w    341 calls
JK: USO2AO                          :      1.167u      0.083s      0.204w    341 calls
JK: JK                              :   8573.667u    611.950s   1483.728w    341 calls
JK: (Q|mn) Read                     :    495.967u    276.300s    158.737w   1054 calls
JK: J                               :    207.117u      9.583s     32.800w   1054 calls
JK: J1                              :    107.567u      5.400s     16.975w   1054 calls
JK: J2                              :     91.800u      3.467s     14.307w   1054 calls
JK: K                               :   7404.317u     95.267s   1127.688w   1054 calls
JK: K1                              :   4663.917u     70.017s    711.779w   1054 calls
JK: K2                              :   2737.850u     25.033s    415.479w   1054 calls
JK: AO2USO                          :      0.017u      0.000s      0.001w    341 calls
HF: Form F                          :      1.967u      0.300s      0.359w    341 calls
HF: Form D                          :      1.767u      0.050s      0.267w    341 calls
HF: DIIS                            :     39.600u      5.250s      6.748w    310 calls
DIISManager::add_entry              :      4.333u      0.933s      0.770w    310 calls
DIISManager::extrapolate            :     11.750u      2.850s      2.213w    310 calls
bMatrix setup                       :      6.033u      1.750s      1.145w    310 calls
bMatrix pseudoinverse               :      0.133u      0.000s      0.036w    310 calls
New vector                          :      5.500u      1.100s      1.025w    310 calls
HF: Form C                          :    102.250u      1.667s     15.623w    310 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      8.867u      0.300s      5.522w     31 calls
JK: (A|Q)^-1                        :    856.183u     50.583s    133.035w     31 calls
JK: (A|mn)                          :    651.183u      8.283s     99.153w     93 calls
JK: (Q|mn)                          :   2034.800u     24.383s    309.642w     93 calls
JK: (Q|mn) Write                    :     60.600u     42.517s     24.948w     93 calls
HF: Form core H                     :      7.400u      0.283s      1.734w     31 calls
HF: Form S/X                        :     10.417u      0.283s      1.592w     31 calls
HF: Guess                           :    100.883u      2.500s     15.778w     31 calls
| SAD Guess                         :     97.700u      2.367s     15.266w     31 calls
HF: Form G                          :   8580.733u    612.850s   1484.901w    341 calls
| JK: D                             :      2.267u      0.133s      0.320w    341 calls
| JK: USO2AO                        :      1.167u      0.083s      0.204w    341 calls
| JK: JK                            :   8573.667u    611.950s   1483.728w    341 calls
| | JK: (Q|mn) Read                 :    495.967u    276.300s    158.737w   1054 calls
| | JK: J                           :    207.117u      9.583s     32.800w   1054 calls
| | | JK: J1                        :    107.567u      5.400s     16.975w   1054 calls
| | | JK: J2                        :     91.800u      3.467s     14.307w   1054 calls
| | JK: K                           :   7404.317u     95.267s   1127.688w   1054 calls
| | | JK: K1                        :   4663.917u     70.017s    711.779w   1054 calls
| | | JK: K2                        :   2737.850u     25.033s    415.479w   1054 calls
| JK: AO2USO                        :      0.017u      0.000s      0.001w    341 calls
HF: Form F                          :      1.967u      0.300s      0.359w    341 calls
HF: Form D                          :      1.767u      0.050s      0.267w    341 calls
HF: DIIS                            :     39.600u      5.250s      6.748w    310 calls
| DIISManager::add_entry            :      4.333u      0.933s      0.770w    310 calls
| DIISManager::extrapolate          :     11.750u      2.850s      2.213w    310 calls
| | bMatrix setup                   :      6.033u      1.750s      1.145w    310 calls
| | bMatrix pseudoinverse           :      0.133u      0.000s      0.036w    310 calls
| | New vector                      :      5.500u      1.100s      1.025w    310 calls
HF: Form C                          :    102.250u      1.667s     15.623w    310 calls

**************************************************************************************

Host: node001

Timers On : Thu Apr  1 13:21:15 2021
Timers Off: Thu Apr  1 13:58:04 2021

Wall Time:     2209.55 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      8.817u      0.283s      5.510w     31 calls
JK: (A|Q)^-1                        :    855.417u     50.900s    132.511w     31 calls
JK: (A|mn)                          :    631.200u      3.433s     95.469w     93 calls
JK: (Q|mn)                          :   2068.533u     20.833s    314.195w     93 calls
JK: (Q|mn) Write                    :     64.117u     44.350s     25.873w     93 calls
HF: Form core H                     :      5.233u      0.267s      1.211w     31 calls
HF: Form S/X                        :      9.883u      0.233s      1.523w     31 calls
HF: Guess                           :    101.200u      2.317s     15.572w     31 calls
SAD Guess                           :     97.867u      2.267s     15.050w     31 calls
HF: Form G                          :   8501.967u    596.383s   1471.410w    341 calls
JK: D                               :      1.783u      0.100s      0.282w    341 calls
JK: USO2AO                          :      1.233u      0.050s      0.182w    341 calls
JK: JK                              :   8495.817u    595.750s   1470.385w    341 calls
JK: (Q|mn) Read                     :    502.867u    275.267s    157.712w   1054 calls
JK: J                               :    183.667u      3.383s     28.292w   1054 calls
JK: J1                              :     92.733u      2.317s     14.304w   1054 calls
JK: J2                              :     82.883u      0.683s     12.582w   1054 calls
JK: K                               :   7304.500u     68.400s   1108.786w   1054 calls
JK: K1                              :   4602.500u     50.633s    699.749w   1054 calls
JK: K2                              :   2699.517u     17.650s    408.661w   1054 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    341 calls
HF: Form F                          :      2.000u      0.167s      0.331w    341 calls
HF: Form D                          :      1.567u      0.017s      0.250w    341 calls
HF: DIIS                            :     39.550u      5.467s      6.741w    310 calls
DIISManager::add_entry              :      4.150u      1.017s      0.802w    310 calls
DIISManager::extrapolate            :     12.267u      3.300s      2.287w    310 calls
bMatrix setup                       :      5.833u      1.717s      1.165w    310 calls
bMatrix pseudoinverse               :      0.283u      0.000s      0.033w    310 calls
New vector                          :      6.017u      1.583s      1.082w    310 calls
HF: Form C                          :     97.500u      1.333s     14.870w    310 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      8.817u      0.283s      5.510w     31 calls
JK: (A|Q)^-1                        :    855.417u     50.900s    132.511w     31 calls
JK: (A|mn)                          :    631.200u      3.433s     95.469w     93 calls
JK: (Q|mn)                          :   2068.533u     20.833s    314.195w     93 calls
JK: (Q|mn) Write                    :     64.117u     44.350s     25.873w     93 calls
HF: Form core H                     :      5.233u      0.267s      1.211w     31 calls
HF: Form S/X                        :      9.883u      0.233s      1.523w     31 calls
HF: Guess                           :    101.200u      2.317s     15.572w     31 calls
| SAD Guess                         :     97.867u      2.267s     15.050w     31 calls
HF: Form G                          :   8501.967u    596.383s   1471.410w    341 calls
| JK: D                             :      1.783u      0.100s      0.282w    341 calls
| JK: USO2AO                        :      1.233u      0.050s      0.182w    341 calls
| JK: JK                            :   8495.817u    595.750s   1470.385w    341 calls
| | JK: (Q|mn) Read                 :    502.867u    275.267s    157.712w   1054 calls
| | JK: J                           :    183.667u      3.383s     28.292w   1054 calls
| | | JK: J1                        :     92.733u      2.317s     14.304w   1054 calls
| | | JK: J2                        :     82.883u      0.683s     12.582w   1054 calls
| | JK: K                           :   7304.500u     68.400s   1108.786w   1054 calls
| | | JK: K1                        :   4602.500u     50.633s    699.749w   1054 calls
| | | JK: K2                        :   2699.517u     17.650s    408.661w   1054 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w    341 calls
HF: Form F                          :      2.000u      0.167s      0.331w    341 calls
HF: Form D                          :      1.567u      0.017s      0.250w    341 calls
HF: DIIS                            :     39.550u      5.467s      6.741w    310 calls
| DIISManager::add_entry            :      4.150u      1.017s      0.802w    310 calls
| DIISManager::extrapolate          :     12.267u      3.300s      2.287w    310 calls
| | bMatrix setup                   :      5.833u      1.717s      1.165w    310 calls
| | bMatrix pseudoinverse           :      0.283u      0.000s      0.033w    310 calls
| | New vector                      :      6.017u      1.583s      1.082w    310 calls
HF: Form C                          :     97.500u      1.333s     14.870w    310 calls

**************************************************************************************

Host: node002

Timers On : Thu Apr  1 13:21:58 2021
Timers Off: Thu Apr  1 14:01:36 2021

Wall Time:     2377.43 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      8.867u      0.550s      5.646w     31 calls
JK: (A|Q)^-1                        :    861.633u     54.200s    134.100w     31 calls
JK: (A|mn)                          :    765.183u     16.267s    117.512w     93 calls
JK: (Q|mn)                          :   2154.400u     45.883s    330.867w     93 calls
JK: (Q|mn) Write                    :     63.900u     44.917s     26.238w     93 calls
HF: Form core H                     :      5.567u      0.250s      1.203w     31 calls
HF: Form S/X                        :     11.917u      0.400s      1.858w     31 calls
HF: Guess                           :    101.583u      2.700s     15.679w     31 calls
SAD Guess                           :     98.100u      2.533s     15.123w     31 calls
HF: Form G                          :   9062.450u    765.050s   1586.102w    341 calls
JK: D                               :      2.100u      0.233s      0.370w    341 calls
JK: USO2AO                          :      1.533u      0.050s      0.254w    341 calls
JK: JK                              :   9053.467u    763.600s   1584.529w    341 calls
JK: (Q|mn) Read                     :    559.817u    309.983s    177.825w   1054 calls
JK: J                               :    237.100u     14.100s     38.136w   1054 calls
JK: J1                              :    123.533u      9.067s     20.063w   1054 calls
JK: J2                              :    104.767u      4.200s     16.304w   1054 calls
JK: K                               :   7777.867u    200.250s   1199.800w   1054 calls
JK: K1                              :   4904.717u    148.900s    759.999w   1054 calls
JK: K2                              :   2870.117u     51.033s    439.253w   1054 calls
JK: AO2USO                          :      0.000u      0.000s      0.002w    341 calls
HF: Form F                          :      2.750u      0.550s      0.528w    341 calls
HF: Form D                          :      1.867u      0.033s      0.300w    341 calls
HF: DIIS                            :     44.383u      7.117s      7.767w    310 calls
DIISManager::add_entry              :      4.350u      1.067s      0.857w    310 calls
DIISManager::extrapolate            :     13.133u      3.383s      2.481w    310 calls
bMatrix setup                       :      6.683u      2.217s      1.322w    310 calls
bMatrix pseudoinverse               :      0.300u      0.017s      0.043w    310 calls
New vector                          :      6.117u      1.150s      1.107w    310 calls
HF: Form C                          :    115.283u      2.567s     17.725w    310 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      8.867u      0.550s      5.646w     31 calls
JK: (A|Q)^-1                        :    861.633u     54.200s    134.100w     31 calls
JK: (A|mn)                          :    765.183u     16.267s    117.512w     93 calls
JK: (Q|mn)                          :   2154.400u     45.883s    330.867w     93 calls
JK: (Q|mn) Write                    :     63.900u     44.917s     26.238w     93 calls
HF: Form core H                     :      5.567u      0.250s      1.203w     31 calls
HF: Form S/X                        :     11.917u      0.400s      1.858w     31 calls
HF: Guess                           :    101.583u      2.700s     15.679w     31 calls
| SAD Guess                         :     98.100u      2.533s     15.123w     31 calls
HF: Form G                          :   9062.450u    765.050s   1586.102w    341 calls
| JK: D                             :      2.100u      0.233s      0.370w    341 calls
| JK: USO2AO                        :      1.533u      0.050s      0.254w    341 calls
| JK: JK                            :   9053.467u    763.600s   1584.529w    341 calls
| | JK: (Q|mn) Read                 :    559.817u    309.983s    177.825w   1054 calls
| | JK: J                           :    237.100u     14.100s     38.136w   1054 calls
| | | JK: J1                        :    123.533u      9.067s     20.063w   1054 calls
| | | JK: J2                        :    104.767u      4.200s     16.304w   1054 calls
| | JK: K                           :   7777.867u    200.250s   1199.800w   1054 calls
| | | JK: K1                        :   4904.717u    148.900s    759.999w   1054 calls
| | | JK: K2                        :   2870.117u     51.033s    439.253w   1054 calls
| JK: AO2USO                        :      0.000u      0.000s      0.002w    341 calls
HF: Form F                          :      2.750u      0.550s      0.528w    341 calls
HF: Form D                          :      1.867u      0.033s      0.300w    341 calls
HF: DIIS                            :     44.383u      7.117s      7.767w    310 calls
| DIISManager::add_entry            :      4.350u      1.067s      0.857w    310 calls
| DIISManager::extrapolate          :     13.133u      3.383s      2.481w    310 calls
| | bMatrix setup                   :      6.683u      2.217s      1.322w    310 calls
| | bMatrix pseudoinverse           :      0.300u      0.017s      0.043w    310 calls
| | New vector                      :      6.117u      1.150s      1.107w    310 calls
HF: Form C                          :    115.283u      2.567s     17.725w    310 calls

**************************************************************************************

Host: node002

Timers On : Thu Apr  1 13:47:30 2021
Timers Off: Thu Apr  1 14:22:31 2021

Wall Time:     2100.37 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      8.717u      0.283s      5.426w     31 calls
JK: (A|Q)^-1                        :    830.300u     48.283s    128.350w     31 calls
JK: (A|mn)                          :    621.283u      4.717s     94.125w     93 calls
JK: (Q|mn)                          :   2019.750u     17.317s    306.275w     93 calls
JK: (Q|mn) Write                    :     63.117u     34.200s     19.848w     93 calls
HF: Form core H                     :      6.967u      0.350s      1.455w     31 calls
HF: Form S/X                        :      9.800u      0.217s      1.500w     31 calls
HF: Guess                           :     98.867u      2.367s     15.222w     31 calls
SAD Guess                           :     95.600u      2.267s     14.704w     31 calls
HF: Form G                          :   8191.933u    489.467s   1385.550w    341 calls
JK: D                               :      1.867u      0.083s      0.266w    341 calls
JK: USO2AO                          :      1.117u      0.067s      0.179w    341 calls
JK: JK                              :   8186.033u    489.017s   1384.573w    341 calls
JK: (Q|mn) Read                     :    435.233u    226.483s    130.239w   1054 calls
JK: J                               :    177.217u      3.350s     27.274w   1054 calls
JK: J1                              :     88.400u      2.017s     13.628w   1054 calls
JK: J2                              :     80.617u      0.833s     12.269w   1054 calls
JK: K                               :   7095.250u     44.167s   1073.507w   1054 calls
JK: K1                              :   4458.167u     34.933s    675.550w   1054 calls
JK: K2                              :   2634.783u      9.150s    397.597w   1054 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    341 calls
HF: Form F                          :      1.700u      0.183s      0.314w    341 calls
HF: Form D                          :      1.700u      0.050s      0.239w    341 calls
HF: DIIS                            :     38.000u      4.900s      6.426w    310 calls
DIISManager::add_entry              :      4.117u      1.033s      0.783w    310 calls
DIISManager::extrapolate            :     11.383u      2.833s      2.104w    310 calls
bMatrix setup                       :      5.433u      1.650s      1.059w    310 calls
bMatrix pseudoinverse               :      0.233u      0.017s      0.029w    310 calls
New vector                          :      5.650u      1.167s      1.011w    310 calls
HF: Form C                          :     94.700u      1.250s     14.470w    310 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      8.717u      0.283s      5.426w     31 calls
JK: (A|Q)^-1                        :    830.300u     48.283s    128.350w     31 calls
JK: (A|mn)                          :    621.283u      4.717s     94.125w     93 calls
JK: (Q|mn)                          :   2019.750u     17.317s    306.275w     93 calls
JK: (Q|mn) Write                    :     63.117u     34.200s     19.848w     93 calls
HF: Form core H                     :      6.967u      0.350s      1.455w     31 calls
HF: Form S/X                        :      9.800u      0.217s      1.500w     31 calls
HF: Guess                           :     98.867u      2.367s     15.222w     31 calls
| SAD Guess                         :     95.600u      2.267s     14.704w     31 calls
HF: Form G                          :   8191.933u    489.467s   1385.550w    341 calls
| JK: D                             :      1.867u      0.083s      0.266w    341 calls
| JK: USO2AO                        :      1.117u      0.067s      0.179w    341 calls
| JK: JK                            :   8186.033u    489.017s   1384.573w    341 calls
| | JK: (Q|mn) Read                 :    435.233u    226.483s    130.239w   1054 calls
| | JK: J                           :    177.217u      3.350s     27.274w   1054 calls
| | | JK: J1                        :     88.400u      2.017s     13.628w   1054 calls
| | | JK: J2                        :     80.617u      0.833s     12.269w   1054 calls
| | JK: K                           :   7095.250u     44.167s   1073.507w   1054 calls
| | | JK: K1                        :   4458.167u     34.933s    675.550w   1054 calls
| | | JK: K2                        :   2634.783u      9.150s    397.597w   1054 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w    341 calls
HF: Form F                          :      1.700u      0.183s      0.314w    341 calls
HF: Form D                          :      1.700u      0.050s      0.239w    341 calls
HF: DIIS                            :     38.000u      4.900s      6.426w    310 calls
| DIISManager::add_entry            :      4.117u      1.033s      0.783w    310 calls
| DIISManager::extrapolate          :     11.383u      2.833s      2.104w    310 calls
| | bMatrix setup                   :      5.433u      1.650s      1.059w    310 calls
| | bMatrix pseudoinverse           :      0.233u      0.017s      0.029w    310 calls
| | New vector                      :      5.650u      1.167s      1.011w    310 calls
HF: Form C                          :     94.700u      1.250s     14.470w    310 calls

**************************************************************************************

Host: node001

Timers On : Thu Apr  1 13:52:45 2021
Timers Off: Thu Apr  1 14:28:37 2021

Wall Time:     2151.91 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      8.717u      0.333s      5.407w     31 calls
JK: (A|Q)^-1                        :    841.267u     52.200s    129.943w     31 calls
JK: (A|mn)                          :    610.617u      1.900s     92.100w     93 calls
JK: (Q|mn)                          :   2017.050u      8.983s    304.616w     93 calls
JK: (Q|mn) Write                    :     63.717u     39.233s     22.919w     93 calls
HF: Form core H                     :      5.967u      0.317s      1.422w     31 calls
HF: Form S/X                        :      9.683u      0.217s      1.486w     31 calls
HF: Guess                           :    100.100u      2.383s     15.406w     31 calls
SAD Guess                           :     96.850u      2.233s     14.895w     31 calls
HF: Form G                          :   8340.300u    539.817s   1431.011w    341 calls
JK: D                               :      1.567u      0.067s      0.267w    341 calls
JK: USO2AO                          :      1.117u      0.033s      0.179w    341 calls
JK: JK                              :   8334.633u    539.300s   1430.076w    341 calls
JK: (Q|mn) Read                     :    493.100u    263.650s    151.240w   1054 calls
JK: J                               :    172.933u      2.017s     26.482w   1054 calls
JK: J1                              :     86.067u      1.200s     13.166w   1054 calls
JK: J2                              :     79.317u      0.533s     11.996w   1054 calls
JK: K                               :   7169.150u     35.133s   1083.262w   1054 calls
JK: K1                              :   4508.500u     26.733s    681.902w   1054 calls
JK: K2                              :   2658.317u      8.333s    401.024w   1054 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    341 calls
HF: Form F                          :      1.767u      0.183s      0.287w    341 calls
HF: Form D                          :      1.483u      0.083s      0.244w    341 calls
HF: DIIS                            :     38.767u      5.000s      6.580w    310 calls
DIISManager::add_entry              :      4.183u      1.083s      0.807w    310 calls
DIISManager::extrapolate            :     12.183u      3.233s      2.274w    310 calls
bMatrix setup                       :      5.967u      1.667s      1.151w    310 calls
bMatrix pseudoinverse               :      0.133u      0.017s      0.026w    310 calls
New vector                          :      6.017u      1.550s      1.091w    310 calls
HF: Form C                          :     96.450u      0.983s     14.669w    310 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      8.717u      0.333s      5.407w     31 calls
JK: (A|Q)^-1                        :    841.267u     52.200s    129.943w     31 calls
JK: (A|mn)                          :    610.617u      1.900s     92.100w     93 calls
JK: (Q|mn)                          :   2017.050u      8.983s    304.616w     93 calls
JK: (Q|mn) Write                    :     63.717u     39.233s     22.919w     93 calls
HF: Form core H                     :      5.967u      0.317s      1.422w     31 calls
HF: Form S/X                        :      9.683u      0.217s      1.486w     31 calls
HF: Guess                           :    100.100u      2.383s     15.406w     31 calls
| SAD Guess                         :     96.850u      2.233s     14.895w     31 calls
HF: Form G                          :   8340.300u    539.817s   1431.011w    341 calls
| JK: D                             :      1.567u      0.067s      0.267w    341 calls
| JK: USO2AO                        :      1.117u      0.033s      0.179w    341 calls
| JK: JK                            :   8334.633u    539.300s   1430.076w    341 calls
| | JK: (Q|mn) Read                 :    493.100u    263.650s    151.240w   1054 calls
| | JK: J                           :    172.933u      2.017s     26.482w   1054 calls
| | | JK: J1                        :     86.067u      1.200s     13.166w   1054 calls
| | | JK: J2                        :     79.317u      0.533s     11.996w   1054 calls
| | JK: K                           :   7169.150u     35.133s   1083.262w   1054 calls
| | | JK: K1                        :   4508.500u     26.733s    681.902w   1054 calls
| | | JK: K2                        :   2658.317u      8.333s    401.024w   1054 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w    341 calls
HF: Form F                          :      1.767u      0.183s      0.287w    341 calls
HF: Form D                          :      1.483u      0.083s      0.244w    341 calls
HF: DIIS                            :     38.767u      5.000s      6.580w    310 calls
| DIISManager::add_entry            :      4.183u      1.083s      0.807w    310 calls
| DIISManager::extrapolate          :     12.183u      3.233s      2.274w    310 calls
| | bMatrix setup                   :      5.967u      1.667s      1.151w    310 calls
| | bMatrix pseudoinverse           :      0.133u      0.017s      0.026w    310 calls
| | New vector                      :      6.017u      1.550s      1.091w    310 calls
HF: Form C                          :     96.450u      0.983s     14.669w    310 calls

**************************************************************************************

Host: node001

Timers On : Thu Apr  1 13:58:08 2021
Timers Off: Thu Apr  1 14:37:19 2021

Wall Time:     2350.78 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      8.800u      0.400s      5.520w     31 calls
JK: (A|Q)^-1                        :    843.000u     50.350s    130.672w     31 calls
JK: (A|mn)                          :    643.317u      6.033s     97.658w     93 calls
JK: (Q|mn)                          :   2020.800u     18.617s    306.728w     93 calls
JK: (Q|mn) Write                    :     63.250u     43.517s     25.501w     93 calls
HF: Form core H                     :      6.200u      0.350s      1.487w     31 calls
HF: Form S/X                        :     10.217u      0.300s      1.585w     31 calls
HF: Guess                           :     99.783u      2.467s     15.382w     31 calls
SAD Guess                           :     96.550u      2.333s     14.869w     31 calls
HF: Form G                          :   9323.067u    657.350s   1615.662w    372 calls
JK: D                               :      2.117u      0.083s      0.314w    372 calls
JK: USO2AO                          :      1.317u      0.067s      0.209w    372 calls
JK: JK                              :   9316.333u    656.883s   1614.533w    372 calls
