
Host: node001

Timers On : Wed Mar 31 21:09:55 2021
Timers Off: Wed Mar 31 23:32:44 2021

Wall Time:     8569.14 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| DFMP2 Qia Read                    :      0.000u      3.317s      2.044w     27 calls
| DFMP2 Bia Write                   :     15.017u      5.617s      3.097w     27 calls
DFMP2 aiQ                           :      6.067u     15.467s     10.429w     27 calls
DFMP2 Tij                           :   5048.283u    123.367s    789.080w     27 calls
| DFMP2 Qia Read                    :     48.517u     16.583s     10.575w    540 calls
| DFMP2 Cia Read                    :     37.383u     14.917s      8.371w    432 calls
| DFMP2 I                           :   2056.900u     11.900s    311.066w    432 calls
| DFMP2 T2                          :    124.783u      5.117s     19.530w    432 calls
| DFMP2 G                           :   2095.117u     12.700s    316.962w    432 calls
| DFMP2 Pab                         :    637.383u     34.267s    100.990w    432 calls
| DFMP2 Gia Write                   :     17.267u      6.517s      3.569w    108 calls
DFMP2 Tab                           :   2468.617u     64.100s    390.092w     27 calls
| DFMP2 Qai Read                    :     38.033u     13.217s      8.689w    324 calls
| DFMP2 I                           :   2040.000u     11.483s    308.484w    243 calls
| DFMP2 T2                          :    131.467u     10.967s     21.429w    243 calls
| DFMP2 Pij                         :    134.217u      4.483s     20.854w    243 calls
DFMP2 gamma                         :    213.783u     20.500s     41.565w     27 calls
| DFMP2 Gia Read                    :      0.017u      3.450s      2.092w     27 calls
| DFMP2 Cia Read                    :      0.050u      3.067s      1.882w     27 calls
| DFMP2 g                           :    188.233u      1.350s     28.507w     27 calls
DFMP2 Gia                           :     51.617u     25.333s     18.721w     27 calls
| DFMP2 Gia Read                    :      0.033u      2.967s      1.826w     27 calls
| DFMP2 aiG Write                   :     13.783u      5.067s      2.835w     27 calls
DFMP2 AB^x                          :     30.150u      0.733s      6.509w     27 calls
DFMP2 Amn^x                         :   2507.817u     48.467s    395.234w     27 calls
DFMP2 L                             :   1456.667u     54.433s    240.823w     27 calls
DFMP2 P                             :      3.467u      0.183s      0.710w     27 calls
DFMP2 W                             :      2.467u      0.167s      0.467w     27 calls
DFMP2 Z                             :  18504.183u    974.417s   3098.226w     27 calls
| DFH: sparsity prep                :     27.383u      0.867s      4.258w     27 calls
| JK: (A|Q)^-1                      :    580.617u     41.383s     94.909w     27 calls
| JK: (A|mn)                        :    476.133u      5.183s     72.363w     54 calls
| JK: (Q|mn)                        :   1432.017u     10.167s    216.844w     54 calls
| JK: (Q|mn) Write                  :     50.933u     27.133s     15.502w     54 calls
| JK: D                             :      2.600u      0.117s      0.409w    512 calls
| JK: USO2AO                        :      2.183u      0.133s      0.310w    512 calls
| JK: JK                            :  15870.400u    861.983s   2628.775w    512 calls
| | JK: (Q|mn) Read                 :    680.500u    332.900s    189.813w   2110 calls
| | JK: J                           :    259.117u      5.083s     39.906w   2110 calls
| | | JK: J1                        :    127.433u      3.050s     19.641w   2384 calls
| | | JK: J2                        :    118.133u      1.150s     18.005w   2384 calls
| | JK: K                           :  14221.217u    201.450s   2168.641w   2110 calls
| | | JK: K1                        :   9947.983u    147.517s   1517.976w   4220 calls
| | | JK: K2                        :   4268.467u     53.650s    649.961w   2384 calls
| JK: AO2USO                        :      0.000u      0.000s      0.002w    512 calls
DFMP2 grad                          :   7003.783u    224.417s   1130.296w     26 calls
| Grad: V T Perturb                 :    213.367u      1.600s     32.322w     26 calls
| Grad: S                           :      1.017u      0.000s      0.160w     26 calls
| Grad: JK                          :   6774.500u    222.483s   1095.246w     26 calls
| | CorrGrad: Amn                   :   1376.783u     55.233s    231.801w     26 calls
| | CorrGrad: AB                    :   1330.000u     49.900s    214.053w     26 calls
| | CorrGrad: UV                    :    844.100u     54.067s    144.379w     26 calls
| | CorrGrad: ABx                   :     35.317u      2.033s      5.613w     26 calls
| | CorrGrad: Amnx                  :   3140.550u     54.433s    486.488w     26 calls

**************************************************************************************

Host: node002

Timers On : Thu Apr  1 12:04:12 2021
Timers Off: Thu Apr  1 12:37:33 2021

Wall Time:     2001.17 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      8.717u      0.217s      5.408w     31 calls
JK: (A|Q)^-1                        :    822.583u     46.650s    126.936w     31 calls
JK: (A|mn)                          :    622.217u      2.517s     93.938w     93 calls
JK: (Q|mn)                          :   2042.450u     12.233s    308.961w     93 calls
JK: (Q|mn) Write                    :     64.600u     31.850s     18.371w     93 calls
HF: Form core H                     :      7.550u      0.383s      1.659w     31 calls
HF: Form S/X                        :      9.933u      0.200s      1.531w     31 calls
HF: Guess                           :     98.750u      2.400s     15.204w     31 calls
SAD Guess                           :     95.483u      2.317s     14.699w     31 calls
HF: Form G                          :   7874.000u    386.450s   1290.098w    341 calls
JK: D                               :      1.850u      0.067s      0.273w    341 calls
JK: USO2AO                          :      1.067u      0.067s      0.180w    341 calls
JK: JK                              :   7867.917u    385.933s   1289.092w    341 calls
JK: (Q|mn) Read                     :    427.233u    219.850s    126.617w   1054 calls
JK: J                               :    175.800u      1.867s     26.940w   1054 calls
JK: J1                              :     86.333u      0.667s     13.131w   1054 calls
JK: J2                              :     82.150u      0.633s     12.393w   1054 calls
JK: K                               :   6876.817u     23.250s   1037.386w   1054 calls
JK: K1                              :   4250.433u     19.800s    642.036w   1054 calls
JK: K2                              :   2623.933u      3.283s    394.981w   1054 calls
JK: AO2USO                          :      0.017u      0.000s      0.001w    341 calls
HF: Form F                          :      1.817u      0.183s      0.336w    341 calls
HF: Form D                          :      1.367u      0.017s      0.240w    341 calls
HF: DIIS                            :     38.883u      4.783s      6.600w    310 calls
DIISManager::add_entry              :      4.867u      0.883s      0.905w    310 calls
DIISManager::extrapolate            :     11.017u      2.667s      2.058w    310 calls
bMatrix setup                       :      5.367u      1.550s      1.024w    310 calls
bMatrix pseudoinverse               :      0.100u      0.017s      0.031w    310 calls
New vector                          :      5.533u      1.100s      0.997w    310 calls
HF: Form C                          :     94.583u      1.217s     14.370w    310 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      8.717u      0.217s      5.408w     31 calls
JK: (A|Q)^-1                        :    822.583u     46.650s    126.936w     31 calls
JK: (A|mn)                          :    622.217u      2.517s     93.938w     93 calls
JK: (Q|mn)                          :   2042.450u     12.233s    308.961w     93 calls
JK: (Q|mn) Write                    :     64.600u     31.850s     18.371w     93 calls
HF: Form core H                     :      7.550u      0.383s      1.659w     31 calls
HF: Form S/X                        :      9.933u      0.200s      1.531w     31 calls
HF: Guess                           :     98.750u      2.400s     15.204w     31 calls
| SAD Guess                         :     95.483u      2.317s     14.699w     31 calls
HF: Form G                          :   7874.000u    386.450s   1290.098w    341 calls
| JK: D                             :      1.850u      0.067s      0.273w    341 calls
| JK: USO2AO                        :      1.067u      0.067s      0.180w    341 calls
| JK: JK                            :   7867.917u    385.933s   1289.092w    341 calls
| | JK: (Q|mn) Read                 :    427.233u    219.850s    126.617w   1054 calls
| | JK: J                           :    175.800u      1.867s     26.940w   1054 calls
